south	male	union	hisp	black	income01	tpid
0	1	0	1	0	.4444444	0
0	0	1	1	0	.7037037	0
0	0	0	1	0	.3006233	0
0	1	1	1	0	.5555556	2
0	0	0	1	0	0	0
0	0	0	1	0	.1851852	0
0	0	0	1	0	.3834066	0
0	0	0	1	0	0	1
0	1	1	0	0	.4444444	2
0	1	0	0	0	.7407407	0
0	0	0	0	0	.5185185	0
0	0	0	0	0	.3703704	2
0	0	1	1	0	.6296296	0
0	0	0	1	0	.1481481	0
0	0	0	0	0	.1111111	0
0	1	0	1	0	.3703704	2
0	0	0	0	0	.3530275	1
0	0	1	1	0	.5925926	0
0	0	0	1	0	.3703704	0
0	0	0	1	0	.2355934	1
0	1	0	1	0	.4074074	0
0	0	0	1	0	.6296296	2
0	0	0	1	0	.304174	2
0	0	0	1	0	.591581	0
0	0	0	1	0	.5016964	0
0	0	0	1	0	.037037	0
0	1	0	1	0	.7037037	1
0	0	0	0	0	.8148148	0
0	1	0	1	0	.5185185	0
0	0	0	1	0	.325478	0
0	1	0	1	0	.5185185	0
0	1	0	0	0	.5185185	2
0	0	0	1	0	.037037	0
0	0	0	1	0	0	0
0	0	0	1	0	.6666667	0
0	0	0	1	0	.5185185	0
0	0	1	0	0	.4074074	2
0	0	0	0	0	.3920847	2
0	0	0	0	0	.3703704	0
0	1	0	1	0	.8518519	2
1	0	0	0	1	.2222222	0
1	1	0	1	0	0	1
1	0	0	0	0	.5663518	2
1	0	0	0	1	.2962963	0
1	0	0	0	0	.3703704	2
1	1	1	0	0	0	0
1	0	0	0	1	.5185185	0
1	1	0	0	1	.5555556	0
1	0	0	1	0	.5185185	0
1	1	0	0	1	.2845007	0
1	0	0	0	1	.4074074	0
1	0	0	0	1	.4444444	0
1	1	0	0	0	.4444444	2
1	0	0	0	0	.1481481	2
1	0	0	1	0	.4444444	0
1	0	0	0	1	.4444444	0
1	1	0	1	0	.2592593	0
1	0	0	1	0	.7037037	0
1	0	0	0	0	.1851852	0
1	1	0	1	0	.1851852	0
1	0	0	1	0	.8148148	0
1	1	0	1	0	.5925926	2
1	0	0	1	0	.2222222	0
1	0	0	1	0	.037037	0
1	0	0	1	0	.0740741	1
1	0	0	1	0	.4074074	0
1	0	0	1	0	.1481481	0
1	0	0	1	0	.260448	0
1	0	0	1	0	.5185185	0
1	0	0	0	1	.5555556	0
