income	ideo	ruling	age	male	black	hisp	soph	sclaw	college
14	3	1	74	1	0	0	10	1	1
8	4	1	76	0	0	0	8	1	0
7	4	1	69	0	0	0	6	3	0
15	3	1	55	0	0	0	10	1	1
2	5	1	39	1	0	0	8	2	0
10	5	1	51	0	0	0	7	4	0
6	4	1	62	1	0	0	10	1	0
15	4	1	40	1	0	0	6	1	0
12	4	1	69	0	0	0	8	3	0
12	4	1	48	0	0	0	9	1	1
5	4	1	55	1	0	0	6	2	0
7	3	0	47	0	0	0	3	3	0
9	4	1	75	1	0	0	9	1	0
2	4	0	80	0	0	0	4	3	0
5	4	0	25	0	0	0	3	2	1
12	4	1	79	1	0	0	10	1	0
1	3	1	44	1	1	0	8	2	0
11	3	1	50	1	0	0	10	2	0
3	4	0	74	0	0	0	4	4	0
8	4	1	45	1	0	0	4	1	1
9	4	1	76	1	0	0	8	2	1
6	5	1	35	1	0	0	8	1	0
12	4	1	50	1	0	0	10	1	1
