countyid	pmccain	medinc	pcollege	punemp	passist	pblack	phisp	ginicnty	logodds
2127	.648	50759	.0698573	.077462	.0179374	.0732792	.0576823	.3985	.6102595
2128	.588	54433	.1180096	.0837575	.0244762	.1243048	.0645238	.4002	.3557036
2129	.727	29454	.0374859	.1220708	.0345997	.0006758	.0055868	.4266	.9794547
2130	.664	33536	.0560821	.1005898	.0227315	.0012827	.0291456	.4387	.6811709
2131	.734	42569	.0606095	.0844612	.0231877	.0070902	.0483055	.4366	1.015013
2132	.36	46102	.1126975	.1090557	.0355324	.5146688	.0537566	.4955	-.5753641
2133	.589	43580	.056064	.0912586	.0330814	.024528	.008054	.437	.3598329
2134	.537	42771	.052137	.1196068	.0120805	.0169748	.0187936	.4188	.148271
2135	.7	40572	.0961806	.0805472	.0247318	.0179208	.0145527	.4603	.8472978
2136	.667	55211	.1069793	.0765359	.0325725	.0666271	.0376213	.4343	.6946476
2137	.678	50869	.0588965	.119996	.0352211	.1830075	.0209553	.4133	.7445956
2138	.694	35265	.0565553	.0644425	.0199005	.0101187	.0366461	.4599	.8188869
2139	.698	31535	.0302318	.086274	.0241342	.0006788	.0116959	.4353	.8377922
2140	.595	35575	.0486668	.0874052	.0207952	.0286053	.0796915	.4597	.3846745
2141	.66	42104	.1187324	.0681932	.0166063	.0386306	.0283308	.4806	.6632943
2142	.737	33630	.0258839	.1401658	.0543277	.0492382	.0274134	.4238	1.030434
2143	.647	33932	.070535	.1170011	.0258633	.0762712	.0198028	.4847	.6058783
2144	.633	34642	.0434681	.1048173	.0358306	.0171851	.016563	.4443	.5451086
2145	.691	89063	.2224375	.0512972	.0092953	.0430287	.0435911	.4417	.8047985
2146	.676	61400	.1169673	.0726714	.0143423	.0660716	.0313149	.3989	.7354496
2147	.714	40577	.0601114	.0740291	.0173212	.2117645	.1554853	.4676	.9148911
2148	.671	39325	.069822	.0687604	.0248969	.1484663	.1932631	.4638	.7127114
2149	.684	44129	.1093663	.064176	.0203276	.0081745	.245063	.4705	.7722158
2150	.824	53113	.0979696	.0268226	.0116493	.0077666	.0715633	.4328	1.543687
2151	.55	43261	.0506812	.1006042	.0174699	.0053868	.6145265	.4273	.2006707
2152	.75	52510	.089698	.0569782	.013426	.0976554	.227389	.4548	1.098612
2153	.746	45595	.1155014	.0638073	.0148024	.0096455	.1630435	.4256	1.077391
2154	.533	52882	.0735198	.0767296	.0119113	.0796941	.318245	.4112	.1321921
2155	.768	37159	.1381963	.0485751	.0092861	.006366	.0992042	.4736	1.197052
2156	.548	39247	.0363454	.0865173	.0086987	.1045557	.5593746	.462	.192593
2157	.545	49466	.0808791	.0829215	.0184111	.2008807	.2126518	.424	.1804884
2158	.467	48083	.1015107	.0733451	.0198996	.0689649	.5842615	.4656	-.1321921
2159	.692	46457	.1351904	.0616889	.0069843	.0101295	.1798968	.4304	.809486
2160	.687	43210	.0788549	.0918248	.0147641	.2344102	.0648836	.4742	.786131
2161	.643	67018	.1108338	.0568538	.0130582	.116505	.2731991	.4183	.5884089
2162	.639	37161	.1030665	.0695474	.0267112	.1057158	.2278756	.5331	.5710265
2163	.476	39615	.1265405	.0369983	.0031972	.0121039	.4193442	.5048	-.0960738
2164	.803	39965	.0701175	.0346318	.0143155	.0416667	.1936228	.4623	1.405151
2165	.682	42679	.054708	.0599108	.0343606	.1229178	.1792624	.414	.7629782
2166	.714	48291	.105173	.0561955	.0140802	.0188002	.1972962	.4296	.9148911
2167	.524	43136	.0633152	.1099725	.009508	.069533	.465379	.4434	.0960738
2168	.597	44433	.068597	.1087044	.0128528	.0233992	.4591808	.4354	.3929806
2169	.803	45933	.0803141	.0598773	.0274693	.0054827	.0775728	.3992	1.405151
2170	.351	32156	.0569727	.080496	.0254611	.0033897	.8768947	.4929	-.6146464
2171	.613	36998	.0701854	.0807671	.0240535	.1857039	.20238	.4244	.4599401
2172	.699	35592	.0601968	.0887474	.0161344	.1723352	.0351341	.4578	.8425405
2173	.712	37758	.0537212	.0608758	.0170699	.1511492	.1999921	.4593	.9051175
2174	.798	40000	.0704639	.071002	0	.0076336	.1779213	.3829	1.373841
2175	.813	27910	.0729638	.0611814	.011491	.0245475	.1556561	.4968	1.469623
2176	.622	82758	.2089743	.0537415	.0094123	.0801034	.1455619	.4205	.4980458
2177	.789	38750	.0905797	.0338722	0	.0451252	.3649539	.4861	1.318908
2178	.694	43252	.0793574	.0538809	.0021068	.1352924	.2527414	.4731	.8188869
2179	.73	65521	.1534808	.0599916	.0092226	.0153518	.2480987	.4514	.9946226
2180	.731	36326	.086684	.0501085	.0303841	.0056204	.2496758	.4326	.9997021
2181	.79	50176	.0912529	.0718401	.0103864	.0262623	.1513405	.4259	1.324926
2182	.63	48920	.0596947	.0933717	.0164399	.1643006	.1567887	.3755	.5322168
2183	.638	35655	.0541334	.0480215	.0179669	.0355454	.5114952	.4461	.5666941
2184	.799	47500	.0346707	.0395874	.0239411	.0165026	.3868282	.3946	1.380056
2185	.419	48942	.1148473	.0820556	.0158565	.2158124	.3773616	.4929	-.3268798
2186	.709	39454	.037088	.0724294	.0073176	.0760594	.5238681	.4449	.8905322
2187	.731	41134	.0539922	.0675707	.0119432	.0075943	.6607542	.3999	.9997021
2188	.616	72305	.1723303	.0647305	.0121588	.0790198	.17941	.4179	.4726044
2189	.738	43380	.0528127	.043408	.0097609	.0947038	.3143327	.4773	1.035599
2190	.813	44300	.0808499	.0238864	.008346	.053532	.0687086	.4225	1.469623
2191	.794	34531	.0726705	.0493339	.0581281	.0195941	.1420036	.4795	1.349208
2192	.735	50056	.0558707	.0565913	.0345213	.0399129	.5190749	.47	1.020141
2193	.707	62639	.089029	.068753	.0129588	.0856956	.2314741	.4075	.8808581
2194	.333	38259	.0775238	.0761807	.0463274	.0264843	.8189431	.4701	-.6946476
2195	.768	40096	.0940706	.0489471	.0101599	.0104464	.186942	.4799	1.197052
2196	.594	31543	.050059	.0777151	.0129272	.2548458	.1998427	.4359	.3805261
2197	.692	44136	.0737896	.0752134	.0221714	.0715151	.0940537	.4158	.809486
