age	male	unemp	black	hisp	educ2	educ3	educ4	educ5	educ6	income	union	pid	south	inctax	follow	agesq
27	1	0	0	0	0	0	0	1	0	11	0	1	1	28	2	729
42	1	0	0	0	1	0	0	0	0	10	0	5	1	2	3	1764
56	0	0	1	0	1	0	0	0	0	14	0	1	1	55	2	3136
38	1	0	0	0	0	0	1	0	0	9	0	7	1	32	3	1444
60	0	0	0	0	0	0	0	1	0	11	0	4	1	85	3	3600
68	1	0	0	0	0	0	0	0	1	12	0	5	1	98	3	4624
56	0	0	1	0	0	0	0	0	1	11	0	1	1	77	2	3136
53	1	0	0	0	1	0	0	0	0	12	0	4	1	16	3	2809
62	0	0	1	0	0	1	0	0	0	6	0	1	1	51	2	3844
62	1	0	0	0	0	0	0	1	0	9	0	1	1	100	3	3844
48	1	1	0	0	1	0	0	0	0	3	0	6	1	51	2	2304
46	0	1	1	0	0	1	0	0	0	2	0	1	1	57	3	2116
32	0	0	1	0	0	1	0	0	0	3	0	1	1	82	1	1024
86	1	0	0	0	0	0	0	1	0	13	0	6	1	100	3	7396
60	1	0	1	0	1	0	0	0	0	12	0	1	1	51	3	3600
54	0	0	0	0	0	0	0	1	0	7	1	5	1	76	3	2916
62	1	0	0	0	0	1	0	0	0	11	1	4	1	2	3	3844
55	0	0	0	0	0	0	0	1	0	7	0	6	1	34	3	3025
45	1	0	0	0	1	0	0	0	0	9	0	7	1	52	2	2025
67	0	0	0	0	1	0	0	0	0	3	0	7	1	25	2	4489
48	1	0	0	0	1	0	0	0	0	6	1	4	1	5	1	2304
67	0	0	0	0	0	1	0	0	0	12	0	3	1	80	2	4489
66	1	0	0	0	0	0	0	1	0	3	0	1	1	100	3	4356
73	1	0	0	0	0	0	0	1	0	10	0	7	1	50	3	5329
46	0	0	0	0	0	1	0	0	0	3	0	6	1	76	3	2116
25	0	0	0	0	0	0	0	0	1	9	0	2	1	28	1	625
31	0	0	0	0	1	0	0	0	0	4	0	1	1	63	3	961
53	0	0	0	0	0	1	0	0	0	10	0	5	1	25	3	2809
53	0	1	0	0	0	0	0	1	0	7	0	7	1	51	3	2809
49	0	0	0	0	0	1	0	0	0	6	0	1	1	25	3	2401
48	0	0	0	0	0	1	0	0	0	12	0	5	1	19	3	2304
